CountryName,year,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
Mauritania,2019,1767.072710621,32.0,1.82317996025085,56.0596215779146,10.416
Mauritius,2012,9421.52514098225,38.5,3.41820001602173,40.0369511615085,7.472
Mauritius,2019,11568.2533399824,,4.54195022583008,39.2509492806955,6.331
Mexico,2012,10744.1335242686,49.6,4.88349008560181,76.6585199140734,4.892
Mexico,2019,10369.5553585271,,,78.355984332992,3.477
"Micronesia, Fed. Sts.",2012,2992.28916099077,,11.7192291367391,22.2942568788425,
"Micronesia, Fed. Sts.",2019,3572.65918282222,,10.6931682741117,22.359245777081,
"Middle East, North Africa, Afghanistan & Pakistan",2012,6048.09249990772,,3.57230008734587,52.3441905145837,8.34766826613965
"Middle East, North Africa, Afghanistan & Pakistan",2019,5412.42875673528,,3.86019992828369,54.4404080887212,8.33082967841649
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2012,3414.87165876956,,,49.2354754411305,8.83376247941241
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2019,2688.96932958269,,,51.2234331146053,8.96317446023269
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2012,3412.57302470262,,,49.4690950778976,8.88951819638217
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2019,2695.63342343005,,,51.461592912125,9.06488013658605
Middle income,2012,4424.22119652773,,4.01803016662598,48.4121281061957,5.80237450251584
Middle income,2019,5353.79775844374,,3.82985997200012,52.93440338769,5.86438207211019
Moldova,2012,3044.8084324815,29.2,6.9834098815918,39.3614196777344,2.189
Moldova,2019,4405.33418162155,26.0,6.22578001022339,40.772289276123,1.502
Monaco,2012,165444.651378771,,1.78004002571106,100.0,
Monaco,2019,193746.785647412,,1.15896999835968,100.0,
Mongolia,2012,4328.89001905655,33.8,5.19521999359131,67.9522782537785,3.905
Mongolia,2019,4347.54610314873,,,67.8277299551557,9.024
Montenegro,2012,6552.48071710904,41.2,,64.5244008658951,19.808
Montenegro,2019,8749.02375172644,35.7,,65.1686759904159,15.128
Morocco,2012,3164.17724609375,,5.55294838577208,59.4348555979895,8.99
Morocco,2019,3508.09765625,,5.0032567210502,61.8430450233765,9.191
Mozambique,2012,685.685748199513,,5.5575098991394,31.4315251735105,3.304
Mozambique,2019,519.09255091362,50.7,5.99969523584354,33.4177241517032,4.462
Myanmar,2012,1202.6658960055,,,29.3956289363345,0.768
Myanmar,2019,1425.98954241668,,1.99976003170013,30.0782436945232,0.407
