CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Cyprus,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Czechia,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Czechia,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",44,‡
Czechia,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",15,‡
Czechia,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",41,‡
Czechia,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Czechia,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",23,‡
Czechia,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",49,
Czechia,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",28,
Czechia,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Czechia,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",43,‡
Czechia,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",25,‡
Czechia,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",32,‡
Czechia,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",1,‡
Czechia,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",35,‡
Czechia,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",38,
Czechia,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",26,
Czechia,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Czechia,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Czechia,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Czechia,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Czechia,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",42,‡
Czechia,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",7,‡
Czechia,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",34,‡
Czechia,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",17,‡
Czechia,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",0,‡
Czechia,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",9,‡
Czechia,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",56,‡
Czechia,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",34,‡
Czechia,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
